Elapsed time = 0.000833 for 1 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001510 for 1 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001469 for 1 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001745 for 1 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.002044 for 1 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.002900 for 1 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000440 for 2 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000870 for 2 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000846 for 2 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001028 for 2 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001492 for 2 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.008286 for 2 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000300 for 4 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000513 for 4 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000593 for 4 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000672 for 4 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.072214 for 4 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.785485 for 4 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000240 for 8 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000301 for 8 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000336 for 8 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.001220 for 8 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.082092 for 8 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.004424 for 8 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000138 for 16 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000204 for 16 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000283 for 16 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.085132 for 16 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.002111 for 16 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.004624 for 16 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000139 for 32 ranks, 1 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000180 for 32 ranks, 2 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.000663 for 32 ranks, 4 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.002306 for 32 ranks, 8 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.004094 for 32 ranks, 16 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.003462 for 32 ranks, 32 threads, for generating 10 patterns with a pattern size of 10 
Elapsed time = 0.003905 for 1 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.005962 for 1 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.006783 for 1 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.007959 for 1 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.008529 for 1 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.010584 for 1 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.001973 for 2 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.003511 for 2 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.003395 for 2 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.003594 for 2 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.004591 for 2 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.146347 for 2 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.001349 for 4 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.001827 for 4 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.001524 for 4 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.001623 for 4 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.005035 for 4 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 1.064639 for 4 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000613 for 8 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000836 for 8 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000940 for 8 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000919 for 8 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.508912 for 8 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.014868 for 8 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000565 for 16 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000565 for 16 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.002134 for 16 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.214139 for 16 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.029201 for 16 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.016457 for 16 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000376 for 32 ranks, 1 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.000356 for 32 ranks, 2 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.160811 for 32 ranks, 4 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.006494 for 32 ranks, 8 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.031386 for 32 ranks, 16 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.014993 for 32 ranks, 32 threads, for generating 50 patterns with a pattern size of 10 
Elapsed time = 0.007721 for 1 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.014134 for 1 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.012156 for 1 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.014090 for 1 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.016045 for 1 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.019251 for 1 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.004060 for 2 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007193 for 2 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.006588 for 2 ranks, 4 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007629 for 2 ranks, 8 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.007900 for 2 ranks, 16 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.030723 for 2 ranks, 32 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.002053 for 4 ranks, 1 threads, for generating 100 patterns with a pattern size of 10 
Elapsed time = 0.003539 for 4 ranks, 2 threads, for generating 100 patterns with a pattern size of 10 
